Real-time,Station1, Station2
1/10/2018 8:00,-0.805,0.161
1/10/2018 9:00,-0.803,0.157
1/10/2018 10:00,-0.816,0.161
1/10/2018 11:00,-0.804,0.159
1/10/2018 12:00,-0.736,0.154
1/10/2018 13:00,-0.803,0.154
1/10/2018 14:00,-0.803,0.155
1/10/2018 15:00,-0.804,0.154
1/10/2018 16:00,-0.8,0.156
1/10/2018 17:00,-0.801,0.158
1/10/2018 18:00,-0.799,0.162
1/10/2018 19:00,-0.799,0.161
1/10/2018 20:00,-0.799,0.161
1/10/2018 21:00,-0.8,0.165
1/10/2018 22:00,-0.801,0.165
1/10/2018 23:00,-0.799,0.137
1/11/2018 0:00,-0.799,0.148
1/11/2018 1:00,-0.799,0.152
1/11/2018 2:00,-0.798,0.154
1/11/2018 3:00,-0.799,0.155
1/11/2018 4:00,-0.779,0.15
1/11/2018 5:00,-0.797,0.15
1/11/2018 6:00,-0.801,0.146
1/11/2018 7:00,-0.806,0.141
1/11/2018 8:00,-0.805,0.147
1/11/2018 9:00,-0.804,0.141
1/11/2018 10:00,-0.803,0.141
1/11/2018 11:00,-0.8,0.141
1/11/2018 12:00,-0.811,0.15
1/11/2018 13:00,-0.805,0.136
1/11/2018 14:00,-0.809,0.141
1/11/2018 15:00,-0.806,0.157
1/11/2018 16:00,-0.8,0.154
1/11/2018 17:00,-0.795,0.152
1/11/2018 18:00,-0.774,0.155
1/11/2018 19:00,-0.792,0.156
1/11/2018 20:00,-0.788,0.155
1/11/2018 21:00,-0.798,0.152
1/11/2018 22:00,-0.797,0.155
1/11/2018 23:00,-0.796,0.154
1/12/2018 0:00,-0.789,0.154
1/12/2018 1:00,-0.802,0.158
1/12/2018 2:00,-0.802,0.157
1/12/2018 3:00,-0.804,0.153
1/12/2018 4:00,-0.803,0.153
1/12/2018 5:00,-0.799,0.156
1/12/2018 6:00,-0.728,0.156
1/12/2018 7:00,-0.744,0.156
1/12/2018 8:00,-0.742,0.16
1/12/2018 9:00,-0.731,0.164
1/12/2018 10:00,-0.719,0.169
1/12/2018 11:00,-0.733,0.164
1/12/2018 12:00,-0.739,0.166
1/12/2018 13:00,-0.782,0.167
1/12/2018 14:00,-0.804,0.168
1/12/2018 15:00,-0.803,0.168
1/12/2018 16:00,-0.803,0.164
1/12/2018 17:00,-0.802,0.164
1/12/2018 18:00,-0.797,0.165
1/12/2018 19:00,-0.799,0.163
1/12/2018 20:00,-0.798,0.169
1/12/2018 21:00,-0.79,0.169
1/12/2018 22:00,-0.785,0.171
1/12/2018 23:00,-0.799,
1/13/2018 0:00,-0.783,0.169
1/13/2018 1:00,  ,0.169
1/13/2018 2:00,-0.791,0.169
1/13/2018 3:00,-0.791,0.168
1/13/2018 4:00,-0.799,0.168
1/13/2018 5:00,-0.803,0.168
1/13/2018 6:00,-0.802,0.167
